제목,태그,이용 연령,작가,요일,평균 평점,선호작 수
미친 후작을 길들이고 말았다,#로맨스#소설원작,0,"로판맛집,골지,이",금요웹툰,9.944,137035
은주의 방 2~3부,#드라마#드라마&영화 원작웹툰,0,노란구,화요웹툰,9.95,162017
별을 삼킨 너에게,#최강자전#친구>연인#로맨스#아이돌#연상연하#2019 최강자전#연예계,15,AR,목요웹툰,9.902,453548
돌격! 용마치킨,#판타지,0,팀 오누,화요웹툰,9.888,18726
빌드업,#소년왕도물#축구#스포츠#2019 지상최대공모전#스포츠성장,12,91,수요웹툰,9.868,256623
보스였음,#액션,15,럭,목요웹툰,9.944,102534
평행도시,#판타지,15,고,일요웹툰,9.923,110382
궤도의 아이들,#성장드라마#드라마#감성드라마#청춘로맨스#학원로맨스,12,"구김,나윤",토요웹툰,9.954,25926
천재 타자가 강속구를 숨김,#스포츠#소설원작#야구,0,"황지성,이블라인,스튜디오M",월요웹툰,9.877,44186
버림받은 왕녀의 은밀한 침실,#소설원작#고자극로맨스#성인웹툰#로맨스#궁중로맨스#까칠남,18,"혜니,성혜",월요웹툰,9.96,263762
웅크,#감성#힐링#무해한,0,나유,"화, 금 연재",9.956,60240
청춘일지,#캠퍼스로맨스#로맨스코미디#로맨스#2030연애#청춘로맨스,0,쏘,토요웹툰,9.845,92489
진짜 진짜 이혼해,#계약연애#친구>연인#오피스로맨스#로맨스#2021 지상최대공모전#선결혼후연애,12,"해인,서",목요웹툰,9.912,87336
따개비,#소설원작#스릴러,15,"레고밟았어,delete,뜰",목요웹툰,9.206,18288
하나는 적고 둘은 너무 많아,#현실로맨스#고자극로맨스#로맨스#재회,15,"손모모,젤리피",금요웹툰,9.56,21911
로맨스가 가능해?,#걸크러시#로맨스코미디#로맨스#2030연애#청춘로맨스#선결혼후연애,0,"송정원,임주",화요웹툰,9.978,73438
뷰티풀 군바리,#드라마#밀리터리#직업드라마,15,"윤성원,설",월요웹툰,9.876,777131
무진,#범죄#복수극#액션#느와르,15,"브라보 장,사",일요웹툰,9.876,43170
순정빌런,#다정남#로맨스#로맨스코미디,12,세,목요웹툰,9.989,319392
찐:종합게임동아리,#동아리#드라마#2020 지상최대공모전,12,소,화요웹툰,9.913,39302
약탈 신부,#구원서사#소설원작#혐관로맨스#로맨스#인외존재,15,"강희자매,팀 카푸치",금요웹툰,9.793,174340
지옥 키우기,#서스펜스#2021 지상최대공모전#다크판타지#스릴러,15,양세,금요웹툰,9.916,40908
세라는 망돌,#로맨스,0,햇,금요웹툰,9.426,18648
66666년 만에 환생한 흑마법사,#회귀#소설원작#먼치킨#판타지,12,"파사,팀 더 지크,화",수요웹툰,9.925,316454
산의 시간,#드라마,0,지,수요웹툰,9.032,12045
이세계 용사가 지구를 구하는 이유,#판타지,15,자린고비,일요웹툰,9.835,25307
용한소녀,#학원로맨스#동물#로맨스,0,올,수요웹툰,9.976,96761
마도전생기,#소설원작#판무#무협/사극#힘숨찐,15,"포스스튜디오,codezer",토요웹툰,9.892,78714
사내고충처리반,#드라마#복수극#범죄#직업드라마,12,"JINU,정주",수요웹툰,9.9,25217
버려진 나의 최애를 위하여,#로맨스#소설원작,0,"김선유,류호,기",목요웹툰,9.989,291787
파견체,#인외존재#sf#판타지,12,곽백,월요웹툰,9.928,12993
묘령의 황자,#걸크러시#드라마#성별반전#궁중로맨스#동양풍판타지,15,아흐레,토요웹툰,9.98,132723
내남친 킹카만들기,#환골탈태#로맨스#2021 지상최대공모전#로맨스코미디,0,"랑쓰,섯",화요웹툰,9.958,115505
인섹터,#다크히어로#이능력배틀물#힘숨찐#판타지,15,마카,월요웹툰,9.947,58787
손 안의 안단테,#성장드라마#드라마#연상연하#감성드라마#음악,12,나윤,일요웹툰,9.98,57389
여우놀이,#2020 지상최대공모전#하이틴#드라마#아이돌#폭스남#학원로맨스,12,황혜,금요웹툰,9.969,305365
재혼 황후,#후회물#혐관로맨스#이세계#다정남#로맨스#연상연하#궁중로맨스#직진남,15,"알파타르트,히어리,숨",금요웹툰,9.874,911239
오로지 오로라,#최강자전#히어로#2019 최강자전#판타지,0,홍,월요웹툰,9.812,49320
이 짝사랑은 억울하다!,#삼각관계#캠퍼스로맨스#친구>연인#현실로맨스#로맨스#청춘로맨스#짝사랑,0,김밀,수요웹툰,9.823,22392
배트맨: 웨인 패밀리 어드벤처,#히어로#일상#해외작품,0,"StarBite,CRC Payn",목요웹툰,9.769,13500
킬 더 드래곤,#헌터물#소설원작#액션#레드아이스 스튜디오,15,"현가,백수귀족,미스 지",금요웹툰,9.971,65704
은둔코인,#드라마#머니게임,0,HD,토요웹툰,9.596,56279
한림체육관,#소년왕도물#학원물#슈퍼스트링#블루스트링#액션,15,"혜성,이석",화요웹툰,9.868,378092
로잘린 보가트,#고자극로맨스#로맨스#궁중로맨스#소설원작,12,"하노HANO,삼월에,마",화요웹툰,9.906,130675
러브 어페어,#후회물#비밀연애#소설원작#고자극로맨스#로맨스#2030연애,15,"팀 네모바퀴,건태,이유",토요웹툰,9.257,15789
홀리데이,#드라마,12,광,수요웹툰,9.357,38177
약한영웅,#드라마&영화 원작웹툰#힘숨찐#액션#학원물,15,"김진석,서패",일요웹툰,8.047,538044
미시령,#2016 최강자전#최강자전#스릴러,15,모코,수요웹툰,9.855,150758
사신,#소설원작#무협/사극,15,"설봉,임재",금요웹툰,9.934,78489
브레이커 : 이터널 포스,#소년왕도물#환골탈태#세계관#사이다#느와르#액션,15,"박진환,전극",금요웹툰,9.898,95157
무사만리행,#판무#무협/사극,15,"배민기,",목요웹툰,9.922,163026
별을 쫓는 소년들,#히어로#연예계#판타지,12,HYB,월요웹툰,9.243,57004
온리호프,#회귀#고자극로맨스#로맨스#타임슬립,15,초,금요웹툰,9.984,183411
"엔딩, 바꿔보려합니다",#2020 지상최대공모전#역하렘#로맨스#빙의#학원로맨스#로판,12,모카,목요웹툰,9.965,68693
일렉시드,#성장드라마#동물#학원물#세계관#이능력배틀물#액션,12,"손제호,제",수요웹툰,9.616,473636
데드퀸,#아포칼립스#판타지,15,김규,금요웹툰,9.952,241872
엑스애쉬,#소년왕도물#게임판타지#판타지,12,"이광수,김세",토요웹툰,9.822,96665
겨울특강,#판타지,15,곤,토요웹툰,9.829,14319
순정말고 순종,#삼각관계#로맨스#연예계#로맨스코미디,15,슈,월요웹툰,9.951,488898
노빠꾸 최하영,#4차원#힘숨찐#액션#학원물,12,우엉,일요웹툰,9.782,55227
케찰코아틀 - 다빗,#드라마#느와르#성인웹툰,18,d,목요웹툰,9.955,9610
펀치드렁커드,#드라마,15,고태,일요웹툰,9.948,18957
결혼생활 그림일기,#일상,0,은꼼,월요웹툰,9.979,110698
어글리후드,#최강자전#히어로#2017 최강자전#먼치킨#판타지#이능력배틀물#힘숨찐,12,미,토요웹툰,9.972,279455
"이 결혼, 새로고침",#로맨스#계약연애#소설원작,15,"다프네 박,영,핑크",화요웹툰,9.854,50064
케찰코아틀 - 헤수스,#드라마#느와르#성인웹툰,18,d,수요웹툰,9.954,10682
두 마리를 위한 뜰,#혐관로맨스#2022 지상최대공모전#드라마#동양풍판타지#인외존재#힐링,15,솜마,수요웹툰,9.937,16778
김부장,#먼치킨#다크히어로#사이다#느와르#액션,15,"정종택,박태준 만화회",화요웹툰,9.86,535994
퀘스트지상주의,#드라마#학원물#게임판타지,15,박태준 만화회,월요웹툰,9.694,511867
위아더좀비,#2020 지상최대공모전#좀비#아포칼립스#감염#드라마#감성드라마,12,이명,화요웹툰,9.974,198229
앵무살수,#판무#판타지,15,김성,월요웹툰,9.956,219131
가족같은 XX,#2020 지상최대공모전#계약연애#로맨스#삼각관계#연예계,15,서우,목요웹툰,9.9,184406
엘프,#세계관#판타지,0,홍작,월요웹툰,9.887,11836
결혼공략,#청춘로맨스#로맨스#로맨스코미디#캠퍼스로맨스,0,율,월요웹툰,9.939,43719
랜덤채팅의 그녀!,#드라마#학원물,15,박은,화요웹툰,6.857,585818
이런 미친 엔딩,#로맨스,0,LEE,수요웹툰,9.873,42272
꽃만 키우는데 너무강함,#먼치킨#게임판타지#소설원작#판타지,0,"주현후,쿰타",목요웹툰,9.957,187533
푸쉬오프,#성장드라마#하이퍼리얼리즘#드라마#감성드라마#사이비종교#힐링,0,허5파,금요웹툰,9.988,98819
토마토가 돼라!,#로맨스,0,뮤,월요웹툰,9.98,30220
살아남은 로맨스,#구원서사#아포칼립스#판타지#빙의#학원로맨스#서바이벌,15,이,일요웹툰,9.986,399658
신컨의 원 코인 클리어,#소설원작#판타지,0,"스튜디오 호호이,Akhere",금요웹툰,9.857,43052
최고의 뿔소라,#다정남#로맨스코미디#현실로맨스#로맨스#무해한#2030연애#연예계,12,김인,일요웹툰,9.96,29070
바스티안,#소설원작#혐관로맨스#로맨스#2030연애#선결혼후연애#로판,15,"아빈,솔",금요웹툰,9.969,96435
분신으로 자동사냥,#소설원작#판타지,12,"오팔,차씨,몽식夢",일요웹툰,9.922,103037
대학원 탈출일지,#하이퍼리얼리즘#일상,0,요,"화, 금 연재",9.972,177467
하얀 사자의 비밀 신부,#소설원작#회귀#로판#로맨스#계략여주,0,"임혜,봉",수요웹툰,9.563,63829
프로듀스 온리원,#드라마#2021 지상최대공모전#아이돌연애,0,류가,수요웹툰,9.776,15614
세레나,#고자극로맨스#로맨스#선결혼후연애#혐관로맨스,15,정이,토요웹툰,9.97,337010
서울밤피어,#다크판타지#먼치킨#뱀파이어#판타지,15,송지,목요웹툰,9.924,32601
여우자매,#동양풍판타지#판타지,0,갈,화요웹툰,9.931,74795
멜빈이 그들에게 남긴 것,#소설원작#로맨스#햇살캐#힐링#로판#레드아이스 스튜디오,12,"류희온,팀 해피게리,삼칠1",금요웹툰,9.933,90046
사랑은 없는 것처럼,#로맨스#소설원작,15,"김해담,carbo(도효원",일요웹툰,9.889,28813
샤인 스타,#성장드라마#로맨스,0,김,일요웹툰,9.95,67731
용왕님의 셰프가 되었습니다,#음식&요리#소설원작#판타지,0,"문백경,카라쿨,",화요웹툰,9.943,231776
장풍전,#액션,15,신영,일요웹툰,9.961,39729
사신소년,#소년왕도물#먼치킨#이능력배틀물#액션,15,,화요웹툰,9.549,610167
촉법소년,#액션,15,"그림,목요웹툰,박태준 만화회",목요웹툰,9.84,182720
주부 육성중,#드라마,0,임,수요웹툰,9.974,56785
좀비X슬래셔,#좀비#히어로#액션#아포칼립스,15,"홍준기,나",토요웹툰,9.72,31247
햄버거가 제일 좋아,#현실로맨스#연상연하#로맨스#청춘로맨스#삼각관계,0,"민국,용",화요웹툰,9.963,46633
이번 생도 잘 부탁해 - 기억의 한 조각,#현실로맨스#로맨스#드라마&영화 원작웹툰,0,이,화요웹툰,9.98,67438
호랑이 들어와요,#판타지,0,"유은,배세",화요웹툰,9.982,263256
수영만화일기,#무해한#일상#스포츠성장,0,해,"월, 목 연재",9.898,46644
용사가 돌아왔다,#다크판타지#먼치킨#아포칼립스#액션#차원이동,15,"풍백,나",화요웹툰,9.915,238181
AI 유하,#로맨스코미디#현실로맨스#아이돌연애#로맨스#삼각관계#연예계,0,"지홍주,박",화요웹툰,9.791,22739
사상최강,#먼치킨#무협/사극#소설원작,0,"이단아,황규",수요웹툰,9.941,126822
탑코너,#스포츠#축구#스포츠성장,0,"라군,윤",토요웹툰,8.397,145093
게임 최강 트롤러,#소설원작#판타지,0,"YATO,군만두먹자,박종",목요웹툰,9.835,84463
낙원의 이론,#소설원작#판타지,0,"정선우,무",수요웹툰,9.856,34416
도깨비 부른다,#판타지,15,WEBANGSAN,월요웹툰,9.929,23715
라서드,#판타지,12,감,월요웹툰,9.952,55062
서울시 천사주의,#성장드라마#먼치킨#판타지,0,안,금요웹툰,9.862,20212
튜토리얼 탑의 고인물,#소설원작#먼치킨#아포칼립스#사이다#헌터물#고인물#액션#게임판타지,12,"방구석김씨,토",수요웹툰,9.923,339592
민간인 통제구역 - 일급기밀,#하이퍼리얼리즘#서스펜스#밀리터리#스릴러#프리퀄,15,OSI,토요웹툰,9.925,36592
메모리얼,#스릴러,15,상,수요웹툰,9.948,53917
아이돌의 비밀 스터디,#2020 지상최대공모전#성장드라마#드라마#아이돌#연예계,12,우아,수요웹툰,9.771,10819
당신이 나를 믿으신다면,#드라마#사이비종교#2021 지상최대공모전,15,김그래,토요웹툰,9.925,21370
다시쓰는 연애사,#로맨스#성별반전,15,"최경민,영",월요웹툰,9.977,175066
아카데미에 위장취업당했다,#소설원작#판타지,12,"WAG,sayren,타",일요웹툰,9.964,177005
오늘의 비너스,#환골탈태#친구>연인#로맨스#2021 지상최대공모전#연예계,15,"도달,엄세",월요웹툰,9.929,66556
규격 외 혈통 천재,#소설원작#판타지,12,"ZAINO,소울풍,클로",목요웹툰,9.954,98225
일타강사 백사부,#소설원작#무협/사극,12,"오리보리,팀 더 지크,간짜",일요웹툰,9.971,205817
트러블리걸,#로맨스,15,일쩜,월요웹툰,9.837,22856
고백어택,#짝사랑#로맨스#학원로맨스,0,늠,월요웹툰,9.935,55697
너의 미소가 함정,#로맨스#하이틴,0,앵,금요웹툰,9.983,212709
아이즈,#2019 지상최대공모전#이능력배틀물#액션#인외존재,15,정썸,화요웹툰,9.944,88325
시월드가 내게 집착한다,#계약연애#구원서사#집착물#소설원작#회귀#로맨스#햇살캐#선결혼후연애,15,"승우,한윤",일요웹툰,9.987,473558
사표내고 이계에서 힐링합니다,#음식&요리#소설원작#이세계#판타지,0,"딥블랙,파란,덤",화요웹툰,9.945,52669
게임 속 바바리안으로 살아남기,#소설원작#판타지,15,"MIDNIGHT STUDIO,정윤강,한태",목요웹툰,9.933,37297
아빠같은 남자,#드라마,12,이수,목요웹툰,9.86,27202
유사연애,#고자극로맨스#현실로맨스#폭스남#로맨스#오피스로맨스#2030연애,15,여,화요웹툰,9.962,149160
인생영화,#서스펜스#타임슬립#복수극#스릴러,15,희나,일요웹툰,9.506,16070
세기말 풋사과 보습학원,#성장드라마#친구>연인#하이틴#소꿉친구#러블리#로맨스#학원로맨스,0,순,금요웹툰,9.983,478209
합격시켜주세용,#판타지,0,이,일요웹툰,9.987,197950
특수청소,#드라마,15,한(恨,목요웹툰,9.62,55032
폭군님은 착하게 살고 싶어,#로맨스,0,"람글,카",금요웹툰,9.977,154923
거짓말의 뉘앙스,#후회물#드라마#하이퍼리얼리즘#인플루언서,0,사,화요웹툰,9.91,27369
원포인트,#동아리#스포츠#스포츠성장,0,,화요웹툰,9.879,20136
빌런투킬,#복수극#판타지,15,"은지,퓨",화요웹툰,9.882,167247
쌈빡,#학원물#액션,15,3,금요웹툰,9.877,108532
헬크래프트,#서스펜스#두뇌싸움#판타지,15,"영기,나",월요웹툰,9.899,38168
잔불의 기사,#판무#복수극#세계관#판타지,15,환,월요웹툰,9.938,204431
나타나주세요!,#다정남#연상연하#로맨스#캠퍼스로맨스,15,김기,화요웹툰,9.968,401685
독거미,#드라마,15,"신진우,홍순",목요웹툰,9.779,9463
너나 나나,#드라마#러블리#학원물,0,김연,토요웹툰,9.92,20138
이종 격투기,#드라마,12,꼬마,토요웹툰,9.902,20355
썩은 핑크의 법칙,#동아리#드라마#2022 지상최대공모전#캠퍼스로맨스,15,힙합신,목요웹툰,9.947,42438
넷시의 비밀,#로맨스#로맨스코미디#세계관#구원서사,0,비온,수요웹툰,9.886,33362
성스러운 그대 이르시길,#로맨스#소설원작,15,"미나토,로주,앵뚜,∙,2",금요웹툰,9.969,70815
아인슈페너,#집착물#스릴러,15,한끼,목요웹툰,9.906,65566
태시트,#액션,12,김다,화요웹툰,9.963,87572
궤짝,#스릴러,15,"그림,화요웹툰,박태준 만화회",화요웹툰,9.757,48293
달과 인어,#성장드라마#드라마#러블리#감성드라마#인외존재#힐링,0,원산,토요웹툰,9.973,40091
반대로 끌리는 사이,#캠퍼스로맨스#로맨스코미디#로맨스#2021 지상최대공모전#햇살캐,0,한,화요웹툰,9.895,35921
앞집나리,#하이퍼리얼리즘#로맨스코미디#하이틴#현실로맨스#로맨스#2030연애,18,민송,목요웹툰,9.937,232215
블러드 리벤저,#2021 지상최대공모전#판타지,15,고,일요웹툰,9.88,39053
급식아빠,#학원물#액션,15,김재,수요웹툰,8.469,383794
랭커,#액션,15,"신건,taibog",월요웹툰,9.919,30162
중매쟁이 아가 황녀님,#소설원작#육아물#회귀#로맨스#빙의,0,"지미신,박카",토요웹툰,9.965,85643
"언니, 이번 생엔 내가 왕비야",#소설원작#회귀#로맨스#사이다#복수극#로판#레드아이스 스튜디오,15,"테미스,Omin,레팔진",금요웹툰,9.96,318797
용두사망 소설 속의 악녀가 되었다,#로맨스#빙의#로판#소설원작,0,"윤림,너구리,하",토요웹툰,9.923,60727
더 게이머,#먼치킨#게임판타지#판타지,0,"성상영,상",금요웹툰,3.845,396898
똑 닮은 딸,#2020 지상최대공모전#서스펜스#스릴러,15,이,월요웹툰,9.984,419044
"오, 친애하는 숙적",#소설원작#로맨스#복수극#로판#레드아이스 스튜디오,15,"벨마,미나토,오",목요웹툰,9.981,82331
여름여자 하보이,#2020 지상최대공모전#로맨스#성별반전,12,석,금요웹툰,9.977,84151
비서 일탈,#소설원작#고자극로맨스#오피스로맨스#로맨스#직진남#2030연애,15,"솔방울,꿀봉이,반지",목요웹툰,9.979,94673
묘약마녀,#성장드라마#판타지,0,자,토요웹툰,9.973,60971
네버엔딩달링,#sf#스릴러,15,울,금요웹툰,9.908,88080
밀실 마피아 게임,#소설원작#스릴러,15,"WONS,PAN,백지",일요웹툰,9.147,20127
스포,#성인웹툰#아포칼립스#스릴러,18,이,금요웹툰,9.683,58759
팀장님은 신혼이 피곤하다,#계약연애#소설원작#로맨스코미디#로맨스#오피스로맨스#짝사랑,0,"강하다,장그",화요웹툰,9.913,63195
귀환했는데 입대 전날이다,#소설원작#판타지,0,"황금비둘기,오코",토요웹툰,9.891,102837
모스크바의 여명,#드라마#힐링#소설원작,0,"황장미,이샨",월요웹툰,9.932,64317
"너의 순정, 나의 순정",#학원로맨스#로맨스,0,정,화요웹툰,9.804,43945
수희0(tngmlek0),#하이퍼리얼리즘#드라마#머니게임#인플루언서,12,생일기,일요웹툰,9.847,240027
시한부 천재 암흑기사,#소년왕도물#소설원작#먼치킨#판타지#빙의#게임판타지,0,"정선율,나",목요웹툰,9.78,17870
완벽한 부부는 없다,#로맨스#소설원작,15,"초이,이다홍,롱",토요웹툰,9.814,102079
괴물공작의 딸,#육아물#힐링#판타지,0,"찬란,한바",수요웹툰,9.904,179724
먹지마세요,#인외존재#오컬트#동양풍판타지#판타지,15,"비버,노",토요웹툰,9.922,39423
세상은 돈과 권력,#드라마#블루스트링#재벌#머니게임,15,"이도희,한동",수요웹툰,9.779,445593
"황궁에 핀 꽃은, 미쳤다",#로맨스#소설원작#퓨전사극,0,"성소작,희구,한누",목요웹툰,9.626,48600
황후를 훔친 이는 누구인가,#로맨스#로판#소설원작,15,"핀쿠,뮬리,Lee jihy",수요웹툰,9.952,134214
보스의 노골적 취향,#로맨스#소설원작,15,"팀솜사탕,시크크,반지",일요웹툰,9.938,89044
연애고수,#삼각관계#인플루언서#로맨스#직진남#전남친,15,햇,수요웹툰,9.874,38244
스토커의 하루,#서스펜스#괴담#스릴러,15,bunn,금요웹툰,9.257,47809
에이머,#두뇌싸움#판타지,0,구동,화요웹툰,9.917,147751
피폐물의 해피엔딩을 위하여,#로맨스#빙의#로판#구원서사,0,,월요웹툰,9.953,48459
어느날 갑자기 서울은,#감염#좀비#아포칼립스#스릴러,15,박창,일요웹툰,9.865,220190
야매 힐러로 사는 법,#소설원작#판타지,0,"나옌,14획,새송이덮",토요웹툰,9.928,39292
미드우트,#판타지,15,원,금요웹툰,9.962,31769
합법해적 파르페,#최강자전#2017 최강자전#판타지,0,뼈피,금요웹툰,9.968,50544
사랑의 헌옷수거함,#친구>연인#걸크러시#하이틴#로맨스#학원로맨스,15,고,월요웹툰,9.773,226685
디펜스 게임의 폭군이 되었다,#소설원작#판타지,12,"하정,류은가람,",토요웹툰,9.972,120223
소녀의 세계,#삼각관계#하이틴#드라마#감성드라마#직진남#까칠남#학원로맨스,0,모랑,월요웹툰,9.157,1125878
